OrderID,Date,ProductID,StoreID,ChannelID,UnitsSold,GrossRevenue,DiscountAmount,NetRevenue,TotalCost
ORD100131,2024-11-04,P1029,S117,C2,7,538.58,53.86,484.72,360.64
ORD100132,2023-11-05,P1156,S114,C2,4,1111.6,55.58,1056.02,610.52
ORD100133,2024-12-12,P1042,S116,C3,6,454.62,45.46,409.16,277.26
ORD100134,2023-02-18,P1009,S103,C1,1,627.77,0.0,627.77,438.11
ORD100135,2024-06-20,P1064,S122,C1,2,256.98,38.55,218.43,147.62
ORD100136,2024-03-09,P1128,S103,C2,1,30.83,4.62,26.21,17.04
ORD100137,2023-06-25,P1136,S116,C2,1,332.14,0.0,332.14,207.55
ORD100138,2023-06-16,P1104,S105,C2,3,74.97,7.5,67.47,53.22
ORD100139,2024-06-10,P1130,S106,C1,2,145.88,7.29,138.59,112.62
ORD100140,2024-04-11,P1042,S108,C2,6,454.62,45.46,409.16,277.26
ORD100141,2024-03-22,P1141,S101,C1,1,192.52,19.25,173.27,110.48
ORD100142,2023-02-07,P1102,S127,C1,3,134.4,6.72,127.68,73.56
ORD100143,2024-03-13,P1022,S125,C3,6,6394.08,1278.82,5115.26,4875.78
ORD100144,2024-12-18,P1021,S101,C2,5,7359.3,0.0,7359.3,4237.8
ORD100145,2023-01-13,P1043,S103,C3,5,111.4,0.0,111.4,75.95
ORD100146,2023-12-09,P1012,S124,C1,5,5087.4,0.0,5087.4,2984.15
ORD100147,2023-12-28,P1046,S101,C1,3,90.12,0.0,90.12,53.16
ORD100148,2024-10-17,P1159,S114,C2,2,60.84,0.0,60.84,39.24
ORD100149,2023-07-26,P1039,S104,C2,5,541.95,54.2,487.75,299.5
ORD100150,2023-12-14,P1102,S117,C2,7,313.6,0.0,313.6,171.64
ORD100151,2024-06-08,P1157,S130,C2,3,500.79,75.12,425.67,336.0
ORD100152,2023-02-14,P1041,S105,C3,4,483.28,96.66,386.62,292.8
ORD100153,2024-08-08,P1112,S130,C1,2,104.62,10.46,94.16,68.28
ORD100154,2024-08-24,P1073,S126,C2,1,312.74,15.64,297.1,206.09
ORD100155,2024-06-10,P1046,S130,C3,4,120.16,0.0,120.16,70.88
ORD100156,2024-04-18,P1153,S123,C2,4,746.56,37.33,709.23,595.8
ORD100157,2024-06-30,P1106,S125,C1,4,63.92,0.0,63.92,44.36
ORD100158,2024-07-25,P1071,S117,C1,1,666.3,33.32,632.98,386.02
ORD100159,2024-10-22,P1130,S126,C2,3,218.82,0.0,218.82,168.93
ORD100160,2023-11-09,P1145,S104,C2,5,172.45,0.0,172.45,116.3
ORD100161,2023-11-30,P1126,S122,C2,7,301.63,0.0,301.63,163.66
ORD100162,2024-04-11,P1140,S118,C2,1,234.69,0.0,234.69,145.94
ORD100163,2023-05-22,P1052,S103,C2,1,133.14,0.0,133.14,77.79
ORD100164,2024-09-17,P1056,S109,C1,3,618.24,92.74,525.5,407.37
ORD100165,2024-07-17,P1038,S107,C3,4,556.76,111.35,445.41,332.56
ORD100166,2024-04-06,P1112,S112,C2,3,156.93,31.39,125.54,102.42
ORD100167,2023-08-09,P1129,S106,C2,1,71.55,3.58,67.97,47.59
ORD100168,2023-09-12,P1106,S108,C2,2,31.96,0.0,31.96,22.18
ORD100169,2023-11-14,P1096,S109,C3,6,31.92,4.79,27.13,18.96
ORD100170,2024-04-29,P1124,S117,C1,2,55.5,0.0,55.5,38.06
ORD100171,2024-07-22,P1030,S105,C1,5,704.6,0.0,704.6,395.65
ORD100172,2024-05-06,P1059,S108,C3,6,3789.36,0.0,3789.36,2140.98
ORD100173,2024-11-10,P1114,S110,C2,2,97.58,19.52,78.06,61.16
ORD100174,2024-12-03,P1009,S113,C3,5,3138.85,0.0,3138.85,2190.55
ORD100175,2024-05-30,P1146,S102,C1,1,62.27,9.34,52.93,37.68
ORD100176,2023-09-29,P1028,S130,C2,4,446.52,0.0,446.52,338.04
ORD100177,2024-03-13,P1126,S109,C2,3,129.27,25.85,103.42,70.14
ORD100178,2023-11-07,P1099,S108,C1,5,103.9,20.78,83.12,55.45
ORD100179,2024-04-04,P1136,S116,C3,4,1328.56,0.0,1328.56,830.2
ORD100180,2024-08-16,P1125,S125,C2,1,81.75,12.26,69.49,53.13
ORD100181,2023-09-27,P1083,S113,C2,6,122.4,0.0,122.4,72.48
ORD100182,2024-01-05,P1121,S108,C2,1,36.6,0.0,36.6,23.83
ORD100183,2023-02-03,P1056,S116,C2,2,412.16,0.0,412.16,271.58
ORD100184,2024-06-22,P1094,S114,C2,7,186.41,9.32,177.09,109.62
ORD100185,2023-12-25,P1147,S113,C3,7,217.91,32.69,185.22,144.2
ORD100186,2023-12-03,P1014,S130,C1,6,3039.24,151.96,2887.28,1985.28
ORD100187,2024-01-25,P1057,S130,C1,2,109.34,0.0,109.34,67.4
ORD100188,2023-06-07,P1003,S116,C2,5,6660.8,0.0,6660.8,3793.3
ORD100189,2024-03-13,P1086,S103,C1,3,14.73,0.0,14.73,10.17
ORD100190,2024-06-28,P1126,S116,C2,5,215.45,32.32,183.13,116.9
ORD100191,2023-09-13,P1007,S130,C1,3,2917.5,145.88,2771.62,2175.84
ORD100192,2023-04-06,P1088,S129,C2,2,31.9,0.0,31.9,18.84
ORD100193,2023-10-10,P1067,S107,C1,4,1072.28,0.0,1072.28,594.44
ORD100194,2023-05-26,P1126,S106,C2,7,301.63,0.0,301.63,163.66
ORD100195,2023-10-01,P1036,S105,C2,3,214.2,0.0,214.2,150.51
ORD100196,2024-04-03,P1027,S125,C2,2,224.88,11.24,213.64,167.66
ORD100197,2023-03-24,P1016,S114,C1,2,823.72,41.19,782.53,439.78
ORD100198,2024-06-30,P1066,S111,C1,3,569.37,28.47,540.9,337.77
ORD100199,2023-06-14,P1079,S110,C1,2,49.36,0.0,49.36,31.38
ORD100200,2024-10-16,P1148,S108,C2,3,725.04,72.5,652.54,385.44
ORD100201,2024-06-19,P1075,S127,C1,4,1957.12,293.57,1663.55,1395.48
ORD100202,2023-07-19,P1028,S113,C2,2,223.26,11.16,212.1,169.02
ORD100203,2024-02-16,P1112,S108,C2,5,261.55,52.31,209.24,170.7
ORD100204,2023-03-22,P1010,S121,C3,5,3394.4,169.72,3224.68,2683.85
ORD100205,2023-03-14,P1056,S119,C1,4,824.32,82.43,741.89,543.16
ORD100206,2024-11-29,P1105,S121,C1,3,30.99,0.0,30.99,19.95
ORD100207,2024-08-09,P1041,S125,C1,3,362.46,0.0,362.46,219.6
ORD100208,2023-04-23,P1096,S104,C1,1,5.32,0.27,5.05,3.16
ORD100209,2023-07-26,P1073,S101,C2,3,938.22,0.0,938.22,618.27
ORD100210,2023-05-25,P1153,S102,C2,7,1306.48,0.0,1306.48,1042.65
ORD100211,2023-10-16,P1046,S121,C2,4,120.16,12.02,108.14,70.88
ORD100212,2023-08-01,P1146,S129,C2,2,124.54,0.0,124.54,75.36
ORD100213,2023-08-28,P1101,S111,C1,1,27.39,1.37,26.02,15.11
ORD100214,2024-01-22,P1120,S124,C2,1,38.03,5.7,32.33,25.15
ORD100215,2023-05-19,P1028,S122,C1,3,334.89,0.0,334.89,253.53
ORD100216,2024-10-07,P1004,S130,C3,5,3381.95,0.0,3381.95,2313.55
ORD100217,2024-06-15,P1117,S114,C2,4,80.36,8.04,72.32,48.4
ORD100218,2024-07-09,P1077,S105,C1,4,1967.36,0.0,1967.36,1377.08
ORD100219,2023-05-04,P1050,S123,C1,1,15.75,0.79,14.96,12.24
ORD100220,2024-06-01,P1144,S125,C1,3,242.04,48.41,193.63,184.14
ORD100221,2024-09-03,P1053,S121,C1,3,141.81,28.36,113.45,108.27
ORD100222,2023-05-09,P1070,S126,C3,8,3584.56,0.0,3584.56,2297.2
ORD100223,2024-07-03,P1116,S111,C2,4,102.24,0.0,102.24,66.64
ORD100224,2023-09-19,P1154,S120,C2,4,802.08,80.21,721.87,516.56
ORD100225,2024-07-29,P1144,S108,C2,2,161.36,24.2,137.16,122.76
ORD100226,2023-12-16,P1105,S113,C1,5,51.65,5.16,46.49,33.25
ORD100227,2024-08-09,P1018,S108,C3,5,4081.25,0.0,4081.25,2534.75
ORD100228,2023-04-18,P1018,S105,C2,3,2448.75,0.0,2448.75,1520.85
ORD100229,2023-10-12,P1111,S102,C2,6,289.14,43.37,245.77,205.2
ORD100230,2023-07-19,P1082,S120,C2,2,27.46,4.12,23.34,15.1
ORD100231,2023-07-01,P1022,S126,C1,2,2131.36,426.27,1705.09,1625.26
ORD100232,2023-08-14,P1112,S110,C2,5,261.55,0.0,261.55,170.7
ORD100233,2023-10-07,P1151,S113,C1,5,695.5,104.32,591.18,464.9
ORD100234,2023-04-04,P1011,S101,C2,2,1374.08,68.7,1305.38,917.48
ORD100235,2024-05-31,P1133,S113,C2,1,73.95,0.0,73.95,41.97
ORD100236,2024-02-07,P1056,S108,C3,6,1236.48,123.65,1112.83,814.74
ORD100237,2024-08-29,P1064,S116,C3,3,385.47,0.0,385.47,221.43
ORD100238,2024-05-30,P1115,S128,C3,3,214.08,32.11,181.97,166.92
ORD100239,2023-04-19,P1040,S114,C3,3,358.59,17.93,340.66,202.53
ORD100240,2023-02-21,P1026,S120,C3,3,91.5,13.72,77.78,54.45
ORD100241,2023-11-06,P1155,S121,C2,5,425.65,42.56,383.09,242.7
ORD100242,2023-12-18,P1056,S105,C2,6,1236.48,61.82,1174.66,814.74
ORD100243,2023-06-25,P1028,S111,C1,3,334.89,16.74,318.15,253.53
ORD100244,2024-07-25,P1111,S104,C1,3,144.57,0.0,144.57,102.6
ORD100245,2024-03-01,P1035,S113,C3,6,772.2,0.0,772.2,463.02
ORD100246,2024-06-30,P1125,S127,C2,1,81.75,4.09,77.66,53.13
ORD100247,2023-03-21,P1012,S114,C1,3,3052.44,0.0,3052.44,1790.49
ORD100248,2024-08-18,P1083,S113,C3,6,122.4,6.12,116.28,72.48
ORD100249,2023-05-31,P1065,S107,C1,2,1144.16,57.21,1086.95,729.4
ORD100250,2023-11-24,P1154,S110,C1,7,1403.64,0.0,1403.64,903.98
ORD100251,2023-11-18,P1084,S129,C2,4,27.52,2.75,24.77,17.36
ORD100252,2024-08-22,P1149,S109,C1,6,378.42,0.0,378.42,208.74
ORD100253,2023-07-22,P1040,S122,C2,2,239.06,0.0,239.06,135.02
ORD100254,2023-06-25,P1076,S102,C2,1,394.94,19.75,375.19,215.56
ORD100255,2023-09-06,P1131,S105,C3,5,387.35,0.0,387.35,253.95
ORD100256,2023-09-21,P1026,S110,C2,6,183.0,18.3,164.7,108.9
ORD100257,2023-05-13,P1149,S128,C2,2,126.14,0.0,126.14,69.58
ORD100258,2023-05-09,P1124,S107,C2,2,55.5,2.78,52.72,38.06
ORD100259,2023-06-19,P1109,S122,C2,1,64.79,0.0,64.79,46.8
ORD100260,2023-12-08,P1039,S105,C1,5,541.95,81.29,460.66,299.5
ORD100261,2023-09-08,P1131,S118,C3,5,387.35,77.47,309.88,253.95
ORD100262,2023-10-14,P1135,S117,C3,4,62.12,3.11,59.01,40.48
ORD100263,2024-06-09,P1047,S118,C3,2,113.28,5.66,107.62,64.44
ORD100264,2023-06-26,P1094,S108,C3,5,133.15,6.66,126.49,78.3
ORD100265,2024-10-27,P1010,S105,C1,7,4752.16,0.0,4752.16,3757.39
ORD100266,2024-07-03,P1064,S127,C2,2,256.98,0.0,256.98,147.62
ORD100267,2023-05-08,P1025,S116,C1,1,31.89,3.19,28.7,17.99
ORD100268,2023-08-18,P1090,S107,C2,1,26.57,2.66,23.91,16.26
ORD100269,2023-05-15,P1088,S113,C1,3,47.85,0.0,47.85,28.26
ORD100270,2023-07-19,P1086,S103,C2,3,14.73,0.74,13.99,10.17
ORD100271,2023-09-25,P1109,S114,C2,2,129.58,0.0,129.58,93.6
ORD100272,2023-04-06,P1148,S113,C1,1,241.68,24.17,217.51,128.48
ORD100273,2023-01-11,P1032,S105,C3,7,199.85,29.98,169.87,122.29
ORD100274,2023-11-17,P1035,S113,C2,5,643.5,128.7,514.8,385.85
ORD100275,2024-05-27,P1035,S119,C2,3,386.1,0.0,386.1,231.51
ORD100276,2023-08-10,P1149,S129,C2,4,252.28,25.23,227.05,139.16
ORD100277,2024-09-20,P1015,S121,C3,5,4118.35,0.0,4118.35,3064.35
ORD100278,2023-09-27,P1006,S114,C3,3,3156.42,473.46,2682.96,2287.35
ORD100279,2024-10-20,P1026,S123,C2,2,61.0,0.0,61.0,36.3
ORD100280,2023-06-22,P1124,S108,C3,2,55.5,0.0,55.5,38.06
ORD100281,2024-01-30,P1093,S120,C2,3,10.95,2.19,8.76,8.07
ORD100282,2024-07-11,P1148,S101,C2,5,1208.4,0.0,1208.4,642.4
ORD100283,2023-02-13,P1033,S103,C2,1,69.31,3.47,65.84,49.37
ORD100284,2024-11-10,P1064,S118,C2,5,642.45,64.24,578.21,369.05
ORD100285,2023-09-24,P1089,S106,C2,8,196.88,0.0,196.88,146.96
ORD100286,2023-12-30,P1012,S120,C3,4,4069.92,0.0,4069.92,2387.32
ORD100287,2024-04-04,P1147,S119,C2,2,62.26,3.11,59.15,41.2
ORD100288,2024-04-15,P1129,S103,C1,3,214.65,21.47,193.18,142.77
ORD100289,2023-01-18,P1024,S112,C2,3,301.17,60.23,240.94,215.25
ORD100290,2024-09-25,P1135,S118,C2,1,15.53,0.0,15.53,10.12
ORD100291,2024-03-31,P1072,S121,C2,3,1744.32,87.22,1657.1,1182.42
ORD100292,2024-12-31,P1054,S125,C1,3,1778.85,88.94,1689.91,953.85
ORD100293,2023-12-11,P1152,S111,C2,9,1154.7,0.0,1154.7,646.02
ORD100294,2024-03-24,P1083,S125,C3,7,142.8,0.0,142.8,84.56
ORD100295,2023-11-19,P1037,S111,C2,5,315.7,0.0,315.7,210.9
ORD100296,2024-10-12,P1130,S101,C2,4,291.76,29.18,262.58,225.24
ORD100297,2024-08-31,P1115,S118,C1,2,142.72,7.14,135.58,111.28
ORD100298,2024-10-26,P1031,S108,C3,7,189.91,0.0,189.91,139.93
ORD100299,2024-01-04,P1109,S105,C2,4,259.16,38.87,220.29,187.2
ORD100300,2024-08-01,P1101,S108,C2,4,109.56,5.48,104.08,60.44
ORD100301,2023-09-20,P1045,S125,C2,1,100.89,0.0,100.89,53.35
ORD100302,2023-12-03,P1069,S128,C2,3,687.9,68.79,619.11,446.31
ORD100303,2024-07-09,P1135,S130,C2,1,15.53,1.55,13.98,10.12
ORD100304,2023-03-01,P1028,S109,C2,2,223.26,44.65,178.61,169.02
ORD100305,2024-06-03,P1116,S113,C3,4,102.24,0.0,102.24,66.64
ORD100306,2023-01-12,P1134,S125,C2,8,2411.12,0.0,2411.12,1794.64
ORD100307,2024-02-29,P1150,S110,C2,1,152.2,0.0,152.2,103.96
ORD100308,2023-12-15,P1052,S111,C1,4,532.56,0.0,532.56,311.16
ORD100309,2023-12-09,P1043,S108,C2,5,111.4,0.0,111.4,75.95
ORD100310,2023-12-28,P1150,S116,C3,9,1369.8,136.98,1232.82,935.64
ORD100311,2023-12-26,P1075,S119,C3,3,1467.84,73.39,1394.45,1046.61
ORD100312,2023-10-25,P1092,S110,C2,4,135.84,0.0,135.84,82.8
ORD100313,2023-11-26,P1083,S101,C2,2,40.8,4.08,36.72,24.16
ORD100314,2024-02-20,P1083,S122,C2,1,20.4,0.0,20.4,12.08
ORD100315,2024-07-12,P1100,S118,C2,4,76.64,15.33,61.31,51.24
ORD100316,2024-02-08,P1068,S107,C1,2,904.58,135.69,768.89,686.2
ORD100317,2024-04-14,P1063,S110,C2,1,178.36,0.0,178.36,99.44
ORD100318,2024-09-03,P1065,S130,C2,2,1144.16,57.21,1086.95,729.4
ORD100319,2024-12-24,P1106,S118,C1,3,47.94,0.0,47.94,33.27
ORD100320,2023-03-21,P1131,S117,C2,3,232.41,34.86,197.55,152.37
ORD100321,2024-06-05,P1089,S119,C1,2,49.22,2.46,46.76,36.74
ORD100322,2023-06-14,P1109,S130,C1,1,64.79,0.0,64.79,46.8
ORD100323,2023-05-24,P1067,S111,C3,5,1340.35,201.05,1139.3,743.05
ORD100324,2024-08-02,P1124,S108,C3,5,138.75,0.0,138.75,95.15
ORD100325,2023-02-20,P1064,S111,C1,2,256.98,0.0,256.98,147.62
ORD100326,2024-09-11,P1068,S125,C1,2,904.58,90.46,814.12,686.2
ORD100327,2024-07-17,P1009,S105,C2,4,2511.08,251.11,2259.97,1752.44
ORD100328,2024-12-28,P1042,S106,C1,4,303.08,15.15,287.93,184.84
ORD100329,2024-05-03,P1119,S108,C1,1,51.65,2.58,49.07,29.73
ORD100330,2024-09-30,P1014,S119,C1,1,506.54,25.33,481.21,330.88
ORD100331,2023-03-28,P1036,S119,C2,1,71.4,7.14,64.26,50.17
ORD100332,2024-10-12,P1125,S111,C2,3,245.25,0.0,245.25,159.39
ORD100333,2023-04-28,P1140,S108,C2,5,1173.45,58.67,1114.78,729.7
